heuristic,workload,configuration,metsla,sla,predict
OC,100,1_m3_medium,false,10000,false
OC,100,1_c3_large,true,10000,false
OC,100,1_m3_large,true,10000,false
OC,100,2_m3_medium,true,10000,false
OC,100,2_c3_large,true,10000,true
OC,100,1_c3_xlarge,true,10000,true
OC,100,3_m3_medium,true,10000,true
OC,100,2_m3_large,true,10000,true
OC,100,1_m3_xlarge,true,10000,true
OC,100,4_m3_medium,true,10000,true
OC,100,3_c3_large,true,10000,true
OC,100,2_c3_xlarge,true,10000,true
OC,100,3_m3_large,true,10000,true
OC,100,1_c3_2xlarge,true,10000,true
OC,100,4_c3_large,true,10000,true
OC,100,4_m3_large,true,10000,true
OC,100,2_m3_xlarge,true,10000,true
OC,100,1_m3_2xlarge,true,10000,true
OC,100,3_c3_xlarge,true,10000,true
OC,100,4_c3_xlarge,true,10000,true
OC,100,2_c3_2xlarge,true,10000,true
OC,100,3_m3_xlarge,true,10000,true
OC,100,2_m3_2xlarge,true,10000,true
OC,100,4_m3_xlarge,true,10000,true
OC,100,3_c3_2xlarge,true,10000,true
OC,100,4_c3_2xlarge,true,10000,true
OC,100,3_m3_2xlarge,true,10000,true
OC,100,4_m3_2xlarge,true,10000,true
OC,200,1_m3_medium,false,10000,true
OC,200,1_c3_large,false,10000,false
OC,200,1_m3_large,false,10000,true
OC,200,2_m3_medium,false,10000,true
OC,200,2_c3_large,true,10000,true
OC,200,1_c3_xlarge,true,10000,false
OC,200,3_m3_medium,false,10000,false
OC,200,2_m3_large,true,10000,true
OC,200,1_m3_xlarge,true,10000,false
OC,200,4_m3_medium,true,10000,false
OC,200,3_c3_large,true,10000,true
OC,200,2_c3_xlarge,true,10000,true
OC,200,3_m3_large,true,10000,true
OC,200,1_c3_2xlarge,true,10000,true
OC,200,4_c3_large,true,10000,true
OC,200,4_m3_large,true,10000,true
OC,200,2_m3_xlarge,true,10000,true
OC,200,1_m3_2xlarge,true,10000,true
OC,200,3_c3_xlarge,true,10000,true
OC,200,4_c3_xlarge,true,10000,true
OC,200,2_c3_2xlarge,true,10000,true
