heuristic,workload,configuration,metsla,sla,predict
PP,100,1_m3_medium,false,10000,false
PP,100,1_c3_large,true,10000,false
PP,100,1_m3_large,true,10000,false
PP,100,2_m3_medium,true,10000,false
PP,100,2_c3_large,true,10000,false
PP,100,1_c3_xlarge,true,10000,false
PP,100,3_m3_medium,true,10000,false
PP,100,2_m3_large,true,10000,false
PP,100,1_m3_xlarge,true,10000,false
PP,100,4_m3_medium,true,10000,false
PP,100,3_c3_large,true,10000,false
PP,100,2_c3_xlarge,true,10000,false
PP,100,3_m3_large,true,10000,false
PP,100,1_c3_2xlarge,true,10000,false
PP,100,4_c3_large,true,10000,false
PP,100,4_m3_large,true,10000,false
PP,100,2_m3_xlarge,true,10000,false
PP,100,1_m3_2xlarge,true,10000,false
PP,100,3_c3_xlarge,true,10000,false
PP,100,4_c3_xlarge,true,10000,false
PP,100,2_c3_2xlarge,true,10000,false
PP,100,3_m3_xlarge,true,10000,false
PP,100,2_m3_2xlarge,true,10000,false
PP,100,4_m3_xlarge,true,10000,false
PP,100,3_c3_2xlarge,true,10000,false
PP,100,4_c3_2xlarge,true,10000,false
PP,100,3_m3_2xlarge,true,10000,false
PP,100,4_m3_2xlarge,true,10000,false
PP,200,1_m3_medium,false,10000,true
PP,200,1_c3_large,false,10000,false
PP,200,1_m3_large,false,10000,true
PP,200,2_m3_medium,false,10000,true
PP,200,2_c3_large,true,10000,false
PP,200,1_c3_xlarge,true,10000,false
PP,200,3_m3_medium,false,10000,false
PP,200,2_m3_large,true,10000,false
PP,200,1_m3_xlarge,true,10000,false
PP,200,4_m3_medium,true,10000,false
PP,200,3_c3_large,true,10000,false
PP,200,2_c3_xlarge,true,10000,false
PP,200,3_m3_large,true,10000,false
PP,200,1_c3_2xlarge,true,10000,false
PP,200,4_c3_large,true,10000,false
PP,200,4_m3_large,true,10000,false
PP,200,2_m3_xlarge,true,10000,false
PP,200,1_m3_2xlarge,true,10000,false
PP,200,3_c3_xlarge,true,10000,false
PP,200,4_c3_xlarge,true,10000,false
PP,200,2_c3_2xlarge,true,10000,false
PP,200,3_m3_xlarge,true,10000,false
PP,200,2_m3_2xlarge,true,10000,false
PP,200,4_m3_xlarge,true,10000,false
PP,200,3_c3_2xlarge,true,10000,false
PP,200,4_c3_2xlarge,true,10000,false
PP,200,3_m3_2xlarge,true,10000,false
PP,200,4_m3_2xlarge,true,10000,false
PP,300,1_m3_medium,false,10000,true
PP,300,1_c3_large,false,10000,true
PP,300,1_m3_large,false,10000,true
PP,300,2_m3_medium,false,10000,true
PP,300,2_c3_large,true,10000,false
PP,300,1_c3_xlarge,false,10000,false
PP,300,3_m3_medium,false,10000,true
PP,300,2_m3_large,true,10000,false
PP,300,1_m3_xlarge,false,10000,false
PP,300,4_m3_medium,false,10000,false
PP,300,3_c3_large,true,10000,false
PP,300,2_c3_xlarge,true,10000,false
PP,300,3_m3_large,true,10000,false
PP,300,1_c3_2xlarge,true,10000,false
PP,300,4_c3_large,true,10000,false
PP,300,4_m3_large,true,10000,false
PP,300,2_m3_xlarge,true,10000,false
PP,300,1_m3_2xlarge,true,10000,false
PP,300,3_c3_xlarge,true,10000,false
PP,300,4_c3_xlarge,true,10000,false
PP,300,2_c3_2xlarge,true,10000,false
PP,300,3_m3_xlarge,true,10000,false
PP,300,2_m3_2xlarge,true,10000,false
