sla;OO;OC;OP;OR;CO;CC;CP;CR;PO;PC;PP;PR;RO;RC;RP;RR
10000;79,415;56,385;44,485;58,905;46,515;38,99;43,54;36,96;26,32;34,65;76,79;40,25;48,02;31,36;46,69;25,025
20000;52,675;38,395;33,985;36,61;40,88;39,69;47,25;45,675;27,58;58,835;109,27;44,625;31,01;36,155;43,295;37,625
30000;13,825;12,88;25,06;15,435;13,16;33,39;60,095;25,41;16,765;67,2;138,355;47,775;14,14;25,935;93,835;21,805
40000;10,78;11,2;22,19;11,795;9,905;19,635;61,18;12,39;12,95;51,415;138,67;50,015;9,52;33,145;79,31;25,865
50000;6,685;9,03;21,0;10,045;6,475;19,425;61,425;17,64;10,395;53,48;132,37;45,255;8,05;24,465;61,53;24,57
60000;5,32;8,12;20,335;7,98;5,88;19,985;46,795;14,35;7,56;51,94;132,3;52,605;5,845;18,27;54,11;12,95
70000;4,375;7,595;19,95;9,03;6,195;22,155;54,005;20,16;8,715;39,025;106,68;30,625;6,685;22,295;54,985;11,9
80000;4,445;7,525;19,88;6,405;5,985;21,735;53,795;9,205;6,615;38,955;106,61;39,48;6,475;25,06;61,88;6,685
90000;3,22;6,72;19,215;8,435;4,06;19,985;53,865;27,685;5,53;38,395;109,13;21,945;3,255;18,445;53,9;18,445
100000;2,87;6,44;18,935;6,475;3,535;18,725;53,76;8,4;5,04;39,69;118,44;39,235;3,045;18,9;64,015;13,93
