sla;OO;OC;OP;OR;CO;CC;CP;CR;PO;PC;PP;PR;RO;RC;RP;RR
10000;77,455;49,105;43,295;50,68;41,055;27,58;42,77;34,825;22,4;24,85;75,81;23,73;52,5;33,04;52,185;45,64
20000;50,645;32,235;33,635;29,085;36,75;31,22;45,99;34,475;22,89;38,57;115,15;29,68;57,05;34,09;64,4;36,295
30000;10,885;14,14;23,45;12,915;8,295;19,985;51,66;16,73;9,135;38,885;136,815;35,56;7,875;21,805;27,86;16,8
40000;8,75;9,1;21,28;13,3;6,72;11,76;54,565;15,54;9,1;30,135;131,215;32,305;6,755;16,66;43,995;22,05
50000;6,3;7,98;20,16;9,59;5,775;10,605;54,67;10,045;7,84;29,855;125,055;24,255;5,285;11,445;37,45;9,625
60000;5,81;7,875;19,775;7,525;5,145;10,955;46,655;15,05;7,35;28,945;124,985;26,95;5,285;19,53;44,24;21,665
70000;4,095;6,58;19,39;3,605;4,83;12,285;53,865;11,06;6,755;28,315;121,975;27,335;5,53;8,61;36,855;15,89
80000;4,445;6,86;19,46;7,28;4,62;12,215;53,795;15,575;6,125;29,925;131,425;30,87;5,25;6,475;71,96;5,74
90000;2,66;5,075;19,215;4,165;2,94;12,705;53,865;8,61;4,2;29,645;124,845;15,61;2,555;19,495;78,33;9,625
100000;2,31;4,795;18,935;5,81;2,415;12,6;53,76;16,45;3,71;28,63;117,95;24,64;2,52;13,125;18,97;14,245
