"heuristic","sla","roc$PPV.mean","roc$TPR.mean","roc$F_MEASURE.mean"
"1","CC",10000,1,1,1
"2","CC",100000,1,1,1
"3","CC",20000,1,1,1
"4","CC",30000,1,0.966666666666667,0.98
"5","CC",40000,1,1,1
"6","CC",50000,1,1,1
"7","CC",60000,1,1,1
"8","CC",70000,1,1,1
"9","CC",80000,1,1,1
"10","CC",90000,1,1,1
"11","CO",10000,1,1,1
"12","CO",100000,1,1,1
"13","CO",20000,1,1,1
"14","CO",30000,0.983333333333333,1,0.990909090909091
"15","CO",40000,1,1,1
"16","CO",50000,1,1,1
"17","CO",60000,1,1,1
"18","CO",70000,1,1,1
"19","CO",80000,1,1,1
"20","CO",90000,1,1,1
"21","CP",10000,1,1,1
"22","CP",100000,1,1,1
"23","CP",20000,1,1,1
"24","CP",30000,1,0.966666666666667,0.98
"25","CP",40000,1,1,1
"26","CP",50000,1,1,1
"27","CP",60000,1,1,1
"28","CP",70000,1,1,1
"29","CP",80000,1,1,1
"30","CP",90000,1,1,1
"31","CR",10000,1,1,1
"32","CR",100000,1,1,1
"33","CR",20000,1,1,1
"34","CR",30000,0.9875,0.993333333333333,0.990322580645161
"35","CR",40000,1,1,1
"36","CR",50000,1,1,1
"37","CR",60000,1,1,1
"38","CR",70000,1,1,1
"39","CR",80000,1,1,1
"40","CR",90000,1,1,1
"41","OC",10000,1,1,1
"42","OC",100000,1,1,1
"43","OC",20000,1,1,1
"44","OC",30000,1,0.966666666666667,0.98
"45","OC",40000,1,1,1
"46","OC",50000,1,1,1
"47","OC",60000,1,1,1
"48","OC",70000,1,1,1
"49","OC",80000,1,1,1
"50","OC",90000,1,1,1
"51","OO",10000,1,1,1
"52","OO",100000,1,1,1
"53","OO",20000,1,1,1
"54","OO",30000,0.983333333333333,1,0.990909090909091
"55","OO",40000,1,1,1
"56","OO",50000,1,1,1
"57","OO",60000,1,1,1
"58","OO",70000,1,1,1
"59","OO",80000,1,1,1
"60","OO",90000,1,1,1
"61","OP",10000,1,1,1
"62","OP",100000,1,1,1
"63","OP",20000,1,1,1
"64","OP",30000,1,0.966666666666667,0.98
"65","OP",40000,1,1,1
"66","OP",50000,1,1,1
"67","OP",60000,1,1,1
"68","OP",70000,1,1,1
"69","OP",80000,1,1,1
"70","OP",90000,1,1,1
"71","OR",10000,1,1,1
"72","OR",100000,1,1,1
"73","OR",20000,1,1,1
"74","OR",30000,0.983333333333333,1,0.990909090909091
"75","OR",40000,1,1,1
"76","OR",50000,1,1,1
"77","OR",60000,1,1,1
"78","OR",70000,1,1,1
"79","OR",80000,1,1,1
"80","OR",90000,1,1,1
"81","PC",10000,1,1,1
"82","PC",100000,1,1,1
"83","PC",20000,1,1,1
"84","PC",30000,0.991666666666667,0.973333333333333,0.981481481481482
"85","PC",40000,1,1,1
"86","PC",50000,1,1,1
"87","PC",60000,1,1,1
"88","PC",70000,1,1,1
"89","PC",80000,1,1,1
"90","PC",90000,1,1,1
"91","PO",10000,1,1,1
"92","PO",100000,1,1,1
"93","PO",20000,1,1,1
"94","PO",30000,0.983333333333333,1,0.990909090909091
"95","PO",40000,1,1,1
"96","PO",50000,1,1,1
"97","PO",60000,1,1,1
"98","PO",70000,1,1,1
"99","PO",80000,1,1,1
"100","PO",90000,1,1,1
"101","PP",10000,1,1,1
"102","PP",100000,1,1,1
"103","PP",20000,1,1,1
"104","PP",30000,0.991666666666667,0.973333333333333,0.981481481481482
"105","PP",40000,1,1,1
"106","PP",50000,1,1,1
"107","PP",60000,1,1,1
"108","PP",70000,1,1,1
"109","PP",80000,1,1,1
"110","PP",90000,1,1,1
"111","PR",10000,1,1,1
"112","PR",100000,1,1,1
"113","PR",20000,1,1,1
"114","PR",30000,0.983333333333333,1,0.990909090909091
"115","PR",40000,1,1,1
"116","PR",50000,1,1,1
"117","PR",60000,1,1,1
"118","PR",70000,1,1,1
"119","PR",80000,1,1,1
"120","PR",90000,1,1,1
"121","RC",10000,1,1,1
"122","RC",100000,1,1,1
"123","RC",20000,1,1,1
"124","RC",30000,0.991666666666667,0.973333333333333,0.981481481481482
"125","RC",40000,1,1,1
"126","RC",50000,1,1,1
"127","RC",60000,1,1,1
"128","RC",70000,1,1,1
"129","RC",80000,1,1,1
"130","RC",90000,1,1,1
"131","RO",10000,1,1,1
"132","RO",100000,1,1,1
"133","RO",20000,1,1,1
"134","RO",30000,0.983333333333333,1,0.990909090909091
"135","RO",40000,1,1,1
"136","RO",50000,1,1,1
"137","RO",60000,1,1,1
"138","RO",70000,1,1,1
"139","RO",80000,1,1,1
"140","RO",90000,1,1,1
"141","RP",10000,1,1,1
"142","RP",100000,1,1,1
"143","RP",20000,1,1,1
"144","RP",30000,1,0.966666666666667,0.98
"145","RP",40000,1,1,1
"146","RP",50000,1,1,1
"147","RP",60000,1,1,1
"148","RP",70000,1,1,1
"149","RP",80000,1,1,1
"150","RP",90000,1,1,1
"151","RR",10000,1,1,1
"152","RR",100000,1,1,1
"153","RR",20000,1,1,1
"154","RR",30000,0.983333333333333,1,0.990909090909091
"155","RR",40000,1,1,1
"156","RR",50000,1,1,1
"157","RR",60000,1,1,1
"158","RR",70000,1,1,1
"159","RR",80000,1,1,1
"160","RR",90000,1,1,1
