"heuristic","sla","exec","cost"
"1","OO","10000","135","77.455"
"2","OC","10000","60","49.105"
"3","OP","10000","50","43.295"
"4","OR","10000","70","50.68"
"5","CO","10000","73","41.055"
"6","CC","10000","40","27.58"
"7","CP","10000","57","42.77"
"8","CR","10000","54","34.825"
"9","PO","10000","41","22.4"
"10","PC","10000","47","24.85"
"11","PP","10000","100","75.81"
"12","PR","10000","47","23.73"
"13","RO","10000","87","52.5"
"14","RC","10000","45","33.04"
"15","RP","10000","70","52.185"
"16","RR","10000","62","45.64"
"17","OO","20000","106","50.645"
"18","OC","20000","52","32.235"
"19","OP","20000","52","33.635"
"20","OR","20000","55","29.085"
"21","CO","20000","66","36.75"
"22","CC","20000","58","31.22"
"23","CP","20000","68","45.99"
"24","CR","20000","64","34.475"
"25","PO","20000","49","22.89"
"26","PC","20000","83","38.57"
"27","PP","20000","159","115.15"
"28","PR","20000","66","29.68"
"29","RO","20000","93","57.05"
"30","RC","20000","65","34.09"
"31","RP","20000","85","64.4"
"32","RR","20000","58","36.295"
"33","OO","30000","59","10.885"
"34","OC","30000","44","14.14"
"35","OP","30000","50","23.45"
"36","OR","30000","49","12.915"
"37","CO","30000","40","8.295"
"38","CC","30000","50","19.985"
"39","CP","30000","80","51.66"
"40","CR","30000","51","16.73"
"41","PO","30000","40","9.135"
"42","PC","30000","97","38.885"
"43","PP","30000","192","136.815"
"44","PR","30000","79","35.56"
"45","RO","30000","40","7.875"
"46","RC","30000","61","21.805"
"47","RP","30000","62","27.86"
"48","RR","30000","52","16.8"
"49","OO","40000","51","8.75"
"50","OC","40000","38","9.1"
"51","OP","40000","46","21.28"
"52","OR","40000","47","13.3"
"53","CO","40000","34","6.72"
"54","CC","40000","40","11.76"
"55","CP","40000","88","54.565"
"56","CR","40000","44","15.54"
"57","PO","40000","43","9.1"
"58","PC","40000","91","30.135"
"59","PP","40000","195","131.215"
"60","PR","40000","79","32.305"
"61","RO","40000","35","6.755"
"62","RC","40000","57","16.66"
"63","RP","40000","72","43.995"
"64","RR","40000","60","22.05"
"65","OO","50000","41","6.3"
"66","OC","50000","34","7.98"
"67","OP","50000","42","20.16"
"68","OR","50000","35","9.59"
"69","CO","50000","31","5.775"
"70","CC","50000","37","10.605"
"71","CP","50000","88","54.67"
"72","CR","50000","37","10.045"
"73","PO","50000","40","7.84"
"74","PC","50000","93","29.855"
"75","PP","50000","190","125.055"
"76","PR","50000","70","24.255"
"77","RO","50000","31","5.285"
"78","RC","50000","43","11.445"
"79","RP","50000","65","37.45"
"80","RR","50000","39","9.625"
"81","OO","60000","39","5.81"
"82","OC","60000","35","7.875"
"83","OP","60000","41","19.775"
"84","OR","60000","33","7.525"
"85","CO","60000","29","5.145"
"86","CC","60000","37","10.955"
"87","CP","60000","74","46.655"
"88","CR","60000","44","15.05"
"89","PO","60000","39","7.35"
"90","PC","60000","91","28.945"
"91","PP","60000","191","124.985"
"92","PR","60000","77","26.95"
"93","RO","60000","31","5.285"
"94","RC","60000","62","19.53"
"95","RP","60000","74","44.24"
"96","RR","60000","65","21.665"
"97","OO","70000","29","4.095"
"98","OC","70000","29","6.58"
"99","OP","70000","40","19.39"
"100","OR","70000","24","3.605"
"101","CO","70000","28","4.83"
"102","CC","70000","42","12.285"
"103","CP","70000","86","53.865"
"104","CR","70000","36","11.06"
"105","PO","70000","38","6.755"
"106","PC","70000","90","28.315"
"107","PP","70000","189","121.975"
"108","PR","70000","74","27.335"
"109","RO","70000","34","5.53"
"110","RC","70000","34","8.61"
"111","RP","70000","64","36.855"
"112","RR","70000","49","15.89"
"113","OO","80000","32","4.445"
"114","OC","80000","31","6.86"
"115","OP","80000","41","19.46"
"116","OR","80000","29","7.28"
"117","CO","80000","27","4.62"
"118","CC","80000","42","12.215"
"119","CP","80000","86","53.795"
"120","CR","80000","48","15.575"
"121","PO","80000","36","6.125"
"122","PC","80000","94","29.925"
"123","PP","80000","200","131.425"
"124","PR","80000","82","30.87"
"125","RO","80000","30","5.25"
"126","RC","80000","28","6.475"
"127","RP","80000","116","71.96"
"128","RR","80000","25","5.74"
"129","OO","90000","22","2.66"
"130","OC","90000","24","5.075"
"131","OP","90000","40","19.215"
"132","OR","90000","25","4.165"
"133","CO","90000","21","2.94"
"134","CC","90000","44","12.705"
"135","CP","90000","87","53.865"
"136","CR","90000","32","8.61"
"137","PO","90000","30","4.2"
"138","PC","90000","96","29.645"
"139","PP","90000","194","124.845"
"140","PR","90000","60","15.61"
"141","RO","90000","20","2.555"
"142","RC","90000","64","19.495"
"143","RP","90000","121","78.33"
"144","RR","90000","37","9.625"
"145","OO","100000","19","2.31"
"146","OC","100000","22","4.795"
"147","OP","100000","38","18.935"
"148","OR","100000","26","5.81"
"149","CO","100000","18","2.415"
"150","CC","100000","43","12.6"
"151","CP","100000","86","53.76"
"152","CR","100000","41","16.45"
"153","PO","100000","29","3.71"
"154","PC","100000","95","28.63"
"155","PP","100000","186","117.95"
"156","PR","100000","69","24.64"
"157","RO","100000","19","2.52"
"158","RC","100000","47","13.125"
"159","RP","100000","38","18.97"
"160","RR","100000","36","14.245"
"161","RR10",10000,56.8,38.1815
"162","RR50",10000,54.32,35.5999
"163","RR100",10000,55,36.4287
"164","RR10",20000,55.2,27.671
"165","RR50",20000,57.36,30.1476
"166","RR100",20000,57.5,30.63935
"167","RR10",30000,53.8,18.4695
"168","RR50",30000,53.96,19.2556
"169","RR100",30000,53.17,19.05995
"170","RR10",40000,52,18.221
"171","RR50",40000,49.9,16.8413
"172","RR100",40000,50.57,17.2011
"173","RR10",50000,41.4,13.3595
"174","RR50",50000,41.7,12.9003
"175","RR100",50000,42.43,13.3231
"176","RR10",60000,43.5,13.139
"177","RR50",60000,42.6,13.9559
"178","RR100",60000,43.09,14.0714
"179","RR10",70000,41.3,12.726
"180","RR50",70000,40.64,12.8037
"181","RR100",70000,40.65,12.7813
"182","RR10",80000,44.7,15.3265
