sla,OO,OC,OP,OR,CO,CC,CP,CR,PO,PC,PP,PR,RO,RC,RP,RR
10000,139,74,53,80,81,59,58,55,49,62,102,63,87,51,65,49
20000,109,67,55,71,75,66,71,77,59,109,156,87,68,71,73,70
30000,66,49,58,51,53,71,91,64,56,132,195,98,52,65,137,61
40000,55,45,52,46,44,55,97,43,51,122,207,104,43,75,126,63
50000,42,38,48,43,33,54,97,52,47,126,201,103,36,65,98,57
60000,35,35,45,34,32,52,75,46,40,125,202,109,32,60,86,43
70000,30,33,44,34,30,58,87,50,43,103,174,82,33,59,93,49
80000,32,33,44,29,29,56,86,37,38,103,174,90,31,69,100,31
90000,24,28,40,30,25,53,87,61,35,102,177,63,24,51,87,51
100000,21,26,38,26,22,49,86,32,34,103,188,87,22,51,100,43
