sla,OO,OC,OP,OR,CO,CC,CP,CR,PO,PC,PP,PR,RO,RC,RP,RR
10000,135,60,50,70,73,40,57,54,41,47,100,47,87,45,70,62
20000,106,52,52,55,66,58,68,64,49,83,159,66,93,65,85,58
30000,59,44,50,49,40,50,80,51,40,97,192,79,40,61,62,52
40000,51,38,46,47,34,40,88,44,43,91,195,79,35,57,72,60
50000,41,34,42,35,31,37,88,37,40,93,190,70,31,43,65,39
60000,39,35,41,33,29,37,74,44,39,91,191,77,31,62,74,65
70000,29,29,40,24,28,42,86,36,38,90,189,74,34,34,64,49
80000,32,31,41,29,27,42,86,48,36,94,200,82,30,28,116,25
90000,22,24,40,25,21,44,87,32,30,96,194,60,20,64,121,37
100000,19,22,38,26,18,43,86,41,29,95,186,69,19,47,38,36
